SubjNo, List, Story, ItemNo, RT, ACC
29, 3, sharper, 8, 5.51291894913, True
29, 3, sharper, 1, 3.3136651516, False
29, 3, sharper, 2, 4.44094395638, True
29, 3, sharper, 5, 3.70427918434, True
29, 3, sharper, 10, 2.80139493942, True
29, 3, sharper, 7, 5.60131001472, True
29, 3, sharper, 3, 6.72679018974, False
29, 3, sharper, 9, 5.32076096535, True
29, 3, sharper, 4, 3.33095097542, True
29, 3, sharper, 6, 3.84093999863, True
29, 3, island, 4, 4.12618303299, False
29, 3, island, 3, 4.77946305275, False
29, 3, island, 9, 6.3672990799, False
29, 3, island, 8, 2.21315813065, True
29, 3, island, 1, 3.61541104317, True
29, 3, island, 2, 2.48272013664, True
29, 3, island, 5, 4.42614889145, False
29, 3, island, 6, 2.92452192307, True
29, 3, island, 7, 4.07776808739, True
29, 3, island, 10, 2.94881486893, False
29, 3, grammar, 9, 3.71212887764, True
29, 3, grammar, 3, 3.82718801498, True
29, 3, grammar, 5, 2.0081410408, True
29, 3, grammar, 1, 4.69523000717, True
29, 3, grammar, 10, 2.57613587379, True
29, 3, grammar, 8, 3.3054049015, True
29, 3, grammar, 6, 3.504529953, False
29, 3, grammar, 7, 3.60554504395, True
29, 3, grammar, 2, 4.07474589348, False
29, 3, grammar, 4, 2.06622004509, True
29, 3, up, 9, 3.43360519409, False
29, 3, up, 3, 2.77578020096, False
29, 3, up, 7, 4.36225485802, False
29, 3, up, 6, 3.41129183769, True
29, 3, up, 10, 1.77372908592, False
29, 3, up, 1, 1.78315496445, True
29, 3, up, 5, 2.6413500309, True
29, 3, up, 2, 4.04009699821, False
29, 3, up, 8, 3.01337909698, False
29, 3, up, 4, 3.24423098564, False
